# 30/12/2020 11:32:30 AM: Volumes - EPEX Spot Market Auction - germany_luxembourg
Delivery day,Hour 1,Hour 2,Hour 3A,Hour 3B,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24,Total Volume
27/10/2020,20069.8,20606.7,21614.5,,21995.5,20517.7,20395.9,23042,25216.8,23391,24050.2,24894.7,25348.8,24831.7,24384.9,24307.6,23800.5,23799,23973.9,24192.9,23851.6,25138.1,25146.4,23673.1,23401.1,561644.4
26/10/2020,23510.3,24787.9,25567.9,,25558.4,25314.7,23136.9,24521.3,27363.1,24861.7,24914.5,25593.5,26075.7,26563.7,26710.9,26582.2,26676,26476,25955.9,25900.2,25074.6,25799.6,24437.6,22733.3,21899.2,606015.1
25/10/2020,27628.9,28785.1,30132,30276.5,30573.6,30152.7,29870.6,29572.4,28922.2,30684.7,32266.3,33258.6,33410.9,33002.4,31042.3,29084.3,27112.4,25219,26865.6,26022.9,26633.6,24823.9,23784.4,24068.4,26580.3,719774
24/10/2020,20552.4,20847.9,20874.9,,22074.8,22439.8,22843.5,22971.6,21252.8,22712,23521.5,24185.4,25035.3,24972.9,25079.9,25538.2,25372.7,23971.4,23895.7,25058.2,24517.3,22013,23054.4,22799.1,24308.2,559892.9
23/10/2020,22512,23179.8,23363.4,,22854.2,22304.4,20970.1,20708.9,23727.4,25616.1,26154,26172.1,27207.2,27593.8,27588.8,27925.7,27559.9,27119.1,26722.9,26823.2,26056.5,23862.4,22214,19049.8,19726.8,587012.5
22/10/2020,26382,26648.9,26218.4,,26166.1,25862.3,24437.7,26666.3,28316.2,26447.3,27368.8,27955.3,29058.5,29740.8,28640.2,28446.5,27907,27613.2,27683.5,28607.8,28002.8,26977,25527.7,22567,21555.9,644797.2
21/10/2020,21491.9,22553.3,23176.3,,23932,22663.1,22794.9,24735.2,28594.9,26172.4,25954.9,26136.2,26405.2,27115.4,27108.2,27643.5,27874.9,27967.4,26155.3,26959.4,27555.2,27832.8,26722.9,25471.2,25068,618084.5
20/10/2020,19259.3,19868.7,20759.9,,21452.6,21759.5,20720.3,22548.3,24992,22881.6,23975.5,26873.8,27895.9,27654.6,27094.8,25438,23682.2,22740.2,23497.6,24780.2,24295.6,24318.8,22294.2,20916.5,19728.8,559428.9
19/10/2020,20105.2,21017.8,21527.7,,20189.9,19803.5,18978.6,21557.6,23680.5,22684.6,23188.8,24610.3,25635.6,26566.2,27124.1,26497.1,24732.9,24151.6,23702.6,23785.7,23198.3,24624.9,21785.3,19771.4,18826.8,547747
18/10/2020,19717,21090.4,21924.4,,22757.8,22846.3,22231.9,23059.3,22570.7,21457.1,21847.3,23093.2,24543.4,25045.1,23963.2,23357.4,22852.9,21620.4,20127.1,19884.6,20097.7,19663,20175,19498.1,20160.3,523583.6
