# 31/12/2013 04:19:26 PM : Block Values - EPEX Spot Intraday Trading - France
Delivery day,Hour from,Hour to,Volume Buy (MW),Volume Sell (MW),Low Price (EUR/MWh),High Price (EUR/MWh),Last Price (EUR/MWh),Time Stamp of Last Price,Index Price,Weighted Average Price
28/10/2013,18,20,50.0,50.0,52.50000,52.50000,52.50000,28/10/2013 09:01:00,,52.50000
27/10/2013,11,12,0.0,80.0,12.00000,12.00000,12.00000,27/10/2013 02:38:00,,12.00000
27/10/2013,1,24,108.0,108.0,12.00000,14.50000,12.00000,26/10/2013 20:47:00,,12.70574
27/10/2013,11,13,0.0,50.0,11.50000,11.50000,11.50000,27/10/2013 02:38:00,,11.50000
27/10/2013,4,12,0.0,55.0,11.50000,14.00000,11.50000,27/10/2013 00:32:00,,11.72727
26/10/2013,1,6,96.0,196.0,22.00000,23.50000,22.00000,25/10/2013 21:37:00,,22.76375
26/10/2013,22,24,0.0,100.0,35.00000,35.00000,35.00000,26/10/2013 19:26:00,,35.00000
26/10/2013,7,13,0.0,200.0,33.50000,36.00000,36.00000,26/10/2013 04:09:00,,34.87500
26/10/2013,9,21,0.0,75.0,36.00000,36.00000,36.00000,26/10/2013 04:41:00,33.33083,36.00000
26/10/2013,21,24,0.0,200.0,28.00000,30.00000,30.00000,26/10/2013 15:52:00,,29.00000
25/10/2013,1,2,50.0,0.0,35.00000,35.00000,35.00000,24/10/2013 21:58:00,,35.00000
24/10/2013,1,24,5.0,5.0,38.00000,38.00000,38.00000,23/10/2013 17:59:00,,38.00000
22/10/2013,1,7,30.0,30.0,22.00000,22.00000,22.00000,21/10/2013 21:22:00,,22.00000
22/10/2013,1,24,13.0,13.0,41.50000,41.50000,41.50000,21/10/2013 16:36:00,,41.50000
21/10/2013,18,24,100.0,100.0,50.50000,50.50000,50.50000,21/10/2013 12:12:00,,50.50000
19/10/2013,5,9,5.0,1.0,,,,,,
18/10/2013,15,16,0.0,77.0,36.00000,37.00000,36.00000,18/10/2013 12:25:00,,36.35065
17/10/2013,1,24,30.0,30.0,52.00000,52.00000,52.00000,16/10/2013 16:55:00,,52.00000
17/10/2013,1,9,25.0,25.0,36.50000,36.50000,36.50000,16/10/2013 21:38:00,,36.50000
16/10/2013,9,11,20.0,0.0,66.00000,66.00000,66.00000,16/10/2013 04:20:00,,66.00000
16/10/2013,8,11,100.0,0.0,69.00000,69.00000,69.00000,16/10/2013 04:07:00,,69.00000
16/10/2013,14,24,10.0,10.0,51.00000,51.00000,51.00000,16/10/2013 09:10:00,,51.00000
16/10/2013,1,14,30.0,30.0,55.00000,55.00000,55.00000,15/10/2013 21:18:00,,55.00000
15/10/2013,9,20,0.0,80.0,63.00000,67.00000,67.00000,14/10/2013 22:34:00,,65.50000
15/10/2013,15,16,67.0,0.0,61.50000,64.00000,64.00000,15/10/2013 12:08:00,,62.61940
15/10/2013,15,18,35.0,0.0,64.50000,64.50000,64.50000,15/10/2013 12:14:00,,64.50000
13/10/2013,2,6,0.0,100.0,31.00000,31.00000,31.00000,12/10/2013 23:55:00,,31.00000
13/10/2013,12,17,0.0,100.0,16.00000,16.00000,16.00000,13/10/2013 09:55:00,,16.00000
13/10/2013,1,24,50.0,50.0,30.00000,31.00000,30.00000,12/10/2013 16:51:00,,30.50000
13/10/2013,1,3,50.0,50.0,34.00000,34.00000,34.00000,12/10/2013 22:32:00,,34.00000
12/10/2013,3,7,0.0,100.0,36.00000,36.00000,36.00000,11/10/2013 23:32:00,,36.00000
12/10/2013,8,17,150.0,150.0,46.00000,46.00000,46.00000,12/10/2013 00:23:00,,46.00000
12/10/2013,22,24,450.0,450.0,41.00000,41.00000,41.00000,12/10/2013 19:34:00,,41.00000
11/10/2013,1,7,200.0,200.0,35.00000,35.00000,35.00000,10/10/2013 20:12:00,,35.00000
11/10/2013,20,23,20.0,0.0,60.00000,60.00000,60.00000,11/10/2013 10:22:00,,60.00000
10/10/2013,9,10,175.0,175.0,66.00000,67.00000,66.00000,10/10/2013 03:22:00,,66.57143
10/10/2013,15,20,75.0,75.0,59.50000,59.50000,59.50000,10/10/2013 11:17:00,,59.50000
09/10/2013,9,20,481.0,200.0,58.00000,70.00000,69.90000,08/10/2013 22:12:00,,66.56855
09/10/2013,4,6,0.0,20.0,,,,,,
09/10/2013,13,16,75.0,75.0,67.00000,67.00000,67.00000,08/10/2013 22:11:00,,67.00000
08/10/2013,12,24,0.0,14.0,58.00000,58.00000,58.00000,08/10/2013 09:12:00,,58.00000
08/10/2013,9,20,0.0,66.0,64.00000,64.00000,64.00000,07/10/2013 21:53:00,,64.00000
07/10/2013,19,24,0.0,14.0,,,,,,
07/10/2013,23,24,0.0,3.0,,,,,,
06/10/2013,2,9,30.0,0.0,21.50000,21.50000,21.50000,05/10/2013 21:21:00,,21.50000
06/10/2013,1,4,250.0,0.0,26.50000,27.00000,27.00000,05/10/2013 22:08:00,,26.80000
06/10/2013,10,18,0.0,120.0,38.20000,39.25000,39.25000,06/10/2013 07:53:00,,38.72500
04/10/2013,21,24,40.0,40.0,51.50000,51.50000,51.50000,04/10/2013 15:34:00,,51.50000
04/10/2013,10,24,70.0,70.0,55.00000,55.00000,55.00000,04/10/2013 07:56:00,,55.00000
03/10/2013,6,7,100.0,100.0,25.75000,25.75000,25.75000,03/10/2013 02:32:00,,25.75000
03/10/2013,12,14,50.0,50.0,58.00000,58.00000,58.00000,03/10/2013 09:56:00,,58.00000
02/10/2013,14,20,200.0,200.0,54.00000,54.00000,54.00000,02/10/2013 08:41:00,,54.00000
02/10/2013,14,24,10.0,10.0,52.00000,52.00000,52.00000,02/10/2013 11:26:00,,52.00000
02/10/2013,11,20,50.0,50.0,56.00000,56.00000,56.00000,02/10/2013 02:57:00,,56.00000
02/10/2013,1,24,10.0,10.0,52.00000,52.00000,52.00000,01/10/2013 18:00:00,,52.00000
01/10/2013,1,6,0.0,20.0,31.00000,31.00000,31.00000,30/09/2013 22:39:00,,31.00000
01/10/2013,21,24,154.0,154.0,52.50000,56.00000,56.00000,01/10/2013 17:29:00,,54.40909
01/10/2013,3,6,170.0,0.0,,,,,,
01/10/2013,1,24,5.0,5.0,50.00000,50.00000,50.00000,30/09/2013 16:54:00,,50.00000
01/10/2013,9,11,97.0,0.0,,,,,,
01/10/2013,2,6,348.0,0.0,,,,,,
29/09/2013,13,24,0.0,45.0,24.00000,24.00000,24.00000,29/09/2013 09:14:00,,24.00000
29/09/2013,1,8,30.0,30.0,16.00000,16.00000,16.00000,28/09/2013 22:29:00,,16.00000
29/09/2013,19,24,0.0,20.0,27.00000,27.00000,27.00000,29/09/2013 16:13:00,,27.00000
29/09/2013,17,24,0.0,100.0,11.00000,28.00000,11.00000,29/09/2013 14:22:00,,19.50000
29/09/2013,10,12,0.0,134.0,15.00000,21.00000,21.00000,29/09/2013 05:25:00,,19.46429
29/09/2013,18,24,50.0,0.0,11.00000,11.00000,11.00000,29/09/2013 14:22:00,,11.00000
29/09/2013,13,16,0.0,75.0,21.95000,21.95000,21.95000,29/09/2013 07:05:00,,21.95000
29/09/2013,1,12,0.0,127.0,15.50000,19.00000,19.00000,28/09/2013 22:56:00,,17.15831
29/09/2013,21,22,200.0,200.0,30.00000,30.00000,30.00000,29/09/2013 15:28:00,,30.00000
28/09/2013,1,8,50.0,50.0,31.00000,31.00000,31.00000,27/09/2013 21:36:00,,31.00000
27/09/2013,22,23,50.0,0.0,48.25000,48.25000,48.25000,27/09/2013 15:57:00,,48.25000
26/09/2013,9,10,100.0,100.0,71.00000,71.00000,71.00000,26/09/2013 00:51:00,,71.00000
26/09/2013,19,22,50.0,0.0,,,,,,
26/09/2013,8,11,0.0,100.0,68.00000,68.00000,68.00000,26/09/2013 05:32:00,,68.00000
26/09/2013,15,17,0.0,100.0,,,,,,
26/09/2013,1,3,200.0,200.0,39.00000,39.00000,39.00000,25/09/2013 21:12:00,,39.00000
26/09/2013,5,9,20.0,0.0,55.00000,55.00000,55.00000,25/09/2013 21:09:00,,55.00000
26/09/2013,9,20,100.0,0.0,67.50000,70.00000,67.50000,26/09/2013 01:02:00,,68.75000
26/09/2013,6,22,2.0,0.0,66.00000,66.00000,66.00000,26/09/2013 03:44:00,,66.00000
26/09/2013,9,11,0.0,75.0,67.00000,67.00000,67.00000,26/09/2013 05:33:00,,67.00000
25/09/2013,4,5,1.0,0.0,33.00000,33.00000,33.00000,25/09/2013 01:05:00,,33.00000
21/09/2013,13,15,100.0,100.0,36.50000,36.50000,36.50000,21/09/2013 08:30:00,,36.50000
19/09/2013,9,20,150.0,150.0,60.00000,64.00000,60.00000,18/09/2013 22:14:00,,62.56250
18/09/2013,12,24,50.0,0.0,65.00000,65.00000,65.00000,18/09/2013 07:12:00,,65.00000
17/09/2013,8,12,35.0,35.0,60.00000,60.00000,60.00000,16/09/2013 23:30:00,,60.00000
16/09/2013,20,23,0.0,190.0,55.50000,55.50000,55.50000,16/09/2013 17:40:00,,55.50000
16/09/2013,14,18,0.0,30.0,56.00000,56.00000,56.00000,16/09/2013 11:02:00,,56.00000
15/09/2013,17,18,250.0,250.0,10.00000,14.00000,14.00000,15/09/2013 14:43:00,,10.80000
13/09/2013,15,21,200.0,0.0,,,,,,
12/09/2013,3,4,70.0,70.0,22.00000,22.00000,22.00000,11/09/2013 23:23:00,,22.00000
12/09/2013,17,21,0.0,17.0,55.00000,55.00000,55.00000,12/09/2013 13:57:00,,55.00000
12/09/2013,5,6,60.0,60.0,22.00000,22.00000,22.00000,11/09/2013 23:23:00,,22.00000
11/09/2013,9,20,200.0,0.0,58.50000,58.50000,58.50000,11/09/2013 00:43:00,,58.50000
10/09/2013,9,20,380.0,405.0,59.00000,61.75000,61.75000,10/09/2013 01:27:00,,61.58025
10/09/2013,1,7,35.0,0.0,30.25000,30.25000,30.25000,09/09/2013 22:20:00,,30.25000
09/09/2013,18,23,245.0,0.0,52.00000,52.00000,52.00000,09/09/2013 08:31:00,,52.00000
